Country Code,USA,CHN,AUS,BRA,DEU,JPN,SWE,RUS,EGY,IND,NGA,ETH
1981,13993.16674,195.5649286,11826.0429,2106.678957,10170.44628,10212.37814,15366.66859,3428.762018,526.3672894,275.9166525,806.5078396,202.9434642
1982,14438.97628,201.808024,12758.67103,2199.701993,9876.228232,9428.87465,13545.25912,3428.762018,561.1077421,279.6568514,661.2323763,207.7008446
1983,15561.4264,223.7349393,11510.14325,1551.773036,9827.022409,10213.95828,12430.45893,3428.762018,601.1330923,297.1604966,444.6490921,223.9422521
1984,17134.28602,248.9158221,12429.09098,1560.455789,9277.932299,10786.78618,12914.33068,3428.762018,637.5756834,282.3176652,348.526326,205.0033994
1985,18269.42217,292.547939,11434.35444,1629.264909,9393.891691,11465.72578,13474.16135,3428.762018,702.5903667,302.5106767,344.1410837,232.5103291
1986,19115.05291,280.0980446,11361.27002,1919.864804,13410.8971,16882.27395,17727.49533,3428.762018,707.0255076,316.8461137,240.6173966,233.9495665
1987,20100.85889,250.3145871,11625.55676,2064.654011,16614.4101,20355.60522,21485.29387,3428.762018,776.4031586,347.425081,272.5077315,242.173582
1988,21483.23306,282.0567828,14261.33519,2276.240556,17863.4379,24592.77201,24188.76594,3428.762018,653.602232,361.450358,256.3758413,242.9136122
1989,22922.43709,309.2633852,17810.95361,2879.49987,17697.16351,24505.7673,25300.39512,3428.762018,720.4100574,353.2554885,260.04757,247.1611913
1990,23954.47935,316.2244304,18221.69121,3071.627953,22219.57253,25123.63179,30162.31577,3485.112202,764.7606811,375.1520193,321.6683709,253.3479607
1991,24405.16481,331.474916,18836.78058,3942.403941,23269.3818,28540.77148,31374.11699,3485.056,640.8505135,309.3279361,279.2757823,270.4403309
1992,25492.95165,364.7596641,18591.22052,2578.207009,26333.53744,31013.64715,32338.50395,3095.659779,710.3624068,323.5247922,291.2834845,203.3416396
1993,26464.85251,375.8142938,17657.24424,2774.174127,25488.51952,35451.29751,24080.89967,2929.462119,774.9108673,307.4110432,153.0756655,165.1281267
1994,27776.63553,471.7608812,18079.26394,3482.529816,27087.55845,38814.89438,25747.24169,2663.394599,846.9980739,353.2924952,171.0247982,125.1288855
1995,28782.17502,607.5685831,20360.18221,4827.152443,31729.69976,42522.06659,29914.33175,2665.739722,963.5573128,381.5274622,263.2880379,133.8986024
1996,30068.23092,707.0297713,21917.71922,5144.64366,30564.24781,37422.86414,32587.2641,2643.897696,1063.433416,408.2417747,314.7399021,144.692935
1997,31572.69023,778.9439057,23522.77877,5260.463813,27045.71913,34304.14897,29897.79263,2737.556662,1211.290308,424.0864738,314.2998494,141.0535555
1998,32949.19776,825.5479571,21340.06211,5065.336705,27340.67288,30969.73803,30143.62746,1834.846937,1286.793514,421.8215901,273.8697972,124.6775752
1999,34620.9289,869.6548821,20536.41231,3461.612858,26795.99113,35004.06127,30577.08177,1330.751464,1351.61401,451.0891442,299.3567659,119.2999888
2000,36449.85512,954.5522917,21665.11545,3728.50801,23718.7467,37299.64413,29283.00505,1771.586602,1461.018259,452.4135847,377.5002693,124.0509505
2001,37273.6181,1047.477863,19495.14593,3135.155229,23687.31689,32716.41867,26969.24457,2100.362386,1402.759854,460.8261999,350.2601822,120.3531152
2002,38166.03784,1141.757644,20059.45207,2805.717257,25205.16445,31235.58818,29571.70446,2375.059044,1238.926558,480.6214422,457.3970476,111.5311693
2003,39677.19835,1280.602855,23440.00532,3040.506496,30359.95215,33690.93773,36961.42537,2975.132778,1147.781713,557.8973659,510.2962953,119.0586588
2004,41921.80976,1498.173796,30440.85488,3596.22458,34165.93403,36441.50449,42442.22045,4102.372294,1071.323339,640.6005222,645.7638712,135.9763619
2005,44307.92058,1740.096726,33982.95043,4730.653468,34696.62092,35781.17005,43085.35315,5323.473877,1196.733309,729.000727,804.0059952,161.8769539
2006,46437.06712,2082.183363,36084.85898,5808.340547,36447.87232,34075.97895,46256.4716,6920.194398,1409.177875,816.7337762,1014.734742,194.0779937
2007,48061.53766,2673.294191,40957.83044,7246.870105,41814.8191,34033.70125,53324.37937,9101.256706,1681.314481,1050.024801,1131.147695,243.6288455
2008,48401.42734,3441.221355,49628.11513,8706.819142,45699.19832,37865.61803,55746.84238,11635.27424,2061.612772,1022.577592,1376.857449,325.7949007
2009,47001.55535,3800.474542,42715.13226,8474.881066,41732.70725,39322.60473,46207.0592,8562.813697,2349.286865,1124.519446,1091.968527,380.264841
2010,48374.05646,4514.94052,51845.65486,11121.42095,41788.04479,42909.23415,52076.43052,10674.9972,2668.035988,1387.880084,2314.963537,341.8589562
2011,49781.35749,5574.187093,62216.54713,13039.12165,45936.08126,46203.70952,59593.6848,13323.88338,2816.666943,1471.658439,2514.148622,355.5889915
2012,51456.65873,6264.643878,67646.10385,12157.30822,44010.93139,46679.26543,57134.07707,14078.83057,3226.131379,1449.664875,2739.852189,469.7923039
2013,52980.04363,6991.853866,67652.68321,12071.77799,45600.77451,38633.70806,60283.24522,14487.27987,3264.450063,1455.102191,2979.834679,503.9026066
2014,54629.49517,7590.016441,61979.89629,11726.80588,47773.94419,36194.41561,58898.92753,12735.9184,3365.707421,1581.510703,3203.296824,573.5659603
2015,56035.07634,8100.647799,62443.83589,11921.94845,49058.95643,36983.49179,59835.46778,13156.57247,3426.055674,1660.417676,3593.834758,627.0275181
2016,57262.93464,8719.241533,64239.90166,12262.31485,50191.5802,37754.03767,61133.23812,13639.45015,3426.932745,1738.449682,3896.469953,674.7275249
2017,58490.79294,9337.835268,66035.96744,12602.68126,51324.20397,38524.58355,62431.00846,14122.32783,3427.809816,1816.481687,4199.105147,722.4275318
2018,59718.65123,9956.429002,67832.03321,12943.04766,52456.82774,39295.12943,63728.7788,14605.2055,3428.686887,1894.513692,4501.740342,770.1275386
2019,60946.50953,10575.02274,69628.09899,13283.41407,53589.4515,40065.67532,65026.54914,15088.08318,3429.563958,1972.545697,4804.375536,817.8275454
2020,62174.36783,11193.61647,71424.16476,13623.78047,54722.07527,40836.2212,66324.31948,15570.96086,3430.441029,2050.577702,5107.01073,865.5275523
2021,63402.22612,11812.21021,73220.23053,13964.14688,55854.69904,41606.76708,67622.08982,16053.83853,3431.3181,2128.609708,5409.645925,913.2275591
2022,64630.08442,12430.80394,75016.29631,14304.51328,56987.32281,42377.31296,68919.86016,16536.71621,3432.195171,2206.641713,5712.281119,960.927566
2023,65857.94272,13049.39767,76812.36208,14644.87969,58119.94658,43147.85884,70217.6305,17019.59388,3433.072243,2284.673718,6014.916314,1008.627573
2024,67085.80101,13667.99141,78608.42785,14985.2461,59252.57035,43918.40472,71515.40084,17502.47156,3433.949314,2362.705723,6317.551508,1056.32758
2025,68313.65931,14286.58514,80404.49363,15325.6125,60385.19412,44688.9506,72813.17118,17985.34924,3434.826385,2440.737728,6620.186703,1104.027586
