Country Code,CHN,AUS,EGY,ETH,IND,JPN,RUS,SWE,USA,NGA,DEU,BRA,,,,,
1981,1.94E+11,1.77E+11,23405404730,7324903192,1.97E+11,1.20E+12,5.07E+11,1.28E+11,3.21E+12,61076493506,7.97E+11,2.64E+11,,,,,
1982,2.04E+11,1.94E+11,25592365394,7707678023,2.04E+11,1.12E+12,5.07E+11,1.13E+11,3.34E+12,51397461686,7.74E+11,2.82E+11,,,,,
1983,2.29E+11,1.77E+11,28137369499,8567890825,2.22E+11,1.22E+12,5.07E+11,1.04E+11,3.64E+12,35451565749,7.68E+11,2.03E+11,,,,,
1984,2.58E+11,1.93E+11,30642873038,8096302369,2.16E+11,1.29E+12,5.07E+11,1.08E+11,4.04E+12,28500815241,7.22E+11,2.09E+11,,,,,
1985,3.07E+11,1.80E+11,34689560465,9480840483,2.37E+11,1.38E+12,5.07E+11,1.13E+11,4.35E+12,28873977228,7.30E+11,2.23E+11,,,,,
1986,2.99E+11,1.82E+11,35880262675,9848600870,2.53E+11,2.05E+12,5.07E+11,1.48E+11,4.59E+12,20721499308,1.04E+12,2.68E+11,,,,,
1987,2.71E+11,1.89E+11,40507934171,10527338647,2.84E+11,2.49E+12,5.07E+11,1.80E+11,4.87E+12,24093203445,1.29E+12,2.94E+11,,,,,
1988,3.11E+11,2.36E+11,35044634015,10908935749,3.02E+11,3.02E+12,5.07E+11,2.04E+11,5.25E+12,23272161397,1.40E+12,3.30E+11,,,,,
1989,3.46E+11,2.99E+11,39648442534,11476584879,3.01E+11,3.02E+12,5.07E+11,2.15E+11,5.66E+12,24231168859,1.39E+12,4.26E+11,,,,,
1990,3.59E+11,3.11E+11,43130416913,12175166763,3.27E+11,3.10E+12,5.17E+11,2.58E+11,5.98E+12,30757075595,1.76E+12,4.62E+11,,,,,
1991,3.81E+11,3.26E+11,36970555899,13463868357,2.75E+11,3.54E+12,5.18E+11,2.70E+11,6.17E+12,27392886873,1.86E+12,6.03E+11,,,,,
1992,4.25E+11,3.25E+11,41855986519,10492993078,2.93E+11,3.85E+12,4.60E+11,2.80E+11,6.54E+12,29300921681,2.12E+12,4.01E+11,,,,,
1993,4.43E+11,3.12E+11,46578631453,8830712714,2.84E+11,4.41E+12,4.35E+11,2.10E+11,6.88E+12,15789003753,2.07E+12,4.38E+11,,,,,
1994,5.62E+11,3.23E+11,51897983393,6927950565,3.33E+11,4.85E+12,3.95E+11,2.26E+11,7.31E+12,18086400536,2.21E+12,5.58E+11,,,,,
1995,7.32E+11,3.68E+11,60159245060,7663984568,3.67E+11,5.33E+12,3.96E+11,2.64E+11,7.66E+12,28546958641,2.59E+12,7.86E+11,,,,,
1996,8.61E+11,4.01E+11,67629716981,8547939731,4.00E+11,4.71E+12,3.92E+11,2.88E+11,8.10E+12,34987951375,2.50E+12,8.50E+11,,,,,
1997,9.58E+11,4.36E+11,78436578171,8589211390,4.23E+11,4.32E+12,4.05E+11,2.64E+11,8.61E+12,35822342618,2.22E+12,8.83E+11,,,,,
1998,1.03E+12,3.99E+11,84828807556,7818224906,4.29E+11,3.91E+12,2.71E+11,2.67E+11,9.09E+12,32004613750,2.24E+12,8.64E+11,,,,,
1999,1.09E+12,3.89E+11,90710704807,7700833482,4.67E+11,4.43E+12,1.96E+11,2.71E+11,9.66E+12,35870792988,2.20E+12,5.99E+11,,,,,
2000,1.21E+12,4.15E+11,99838543960,8242392104,4.77E+11,4.73E+12,2.60E+11,2.60E+11,1.03E+13,46385996029,1.95E+12,6.55E+11,,,,,
2001,1.33E+12,3.78E+11,97632008710,8231326016,4.94E+11,4.16E+12,3.07E+11,2.40E+11,1.06E+13,44138014092,1.95E+12,5.59E+11,,,,,
2002,1.46E+12,3.94E+11,87850683979,7850809498,5.24E+11,3.98E+12,3.45E+11,2.64E+11,1.10E+13,59116868251,2.08E+12,5.08E+11,,,,,
2003,1.65E+12,4.66E+11,82924503943,8623691300,6.18E+11,4.30E+12,4.30E+11,3.31E+11,1.15E+13,67655840108,2.51E+12,5.58E+11,,,,,
2004,1.94E+12,6.13E+11,78845185293,10131187261,7.22E+11,4.66E+12,5.91E+11,3.82E+11,1.23E+13,87845403978,2.82E+12,6.69E+11,,,,,
